name,user,html_url,id,node_id,description,stars,forks,prs,language,api_url,created_at,updated_at,pushed_at,license
spring-cloud-alibaba,alibaba,https://github.com/alibaba/spring-cloud-alibaba,112785414,MDEwOlJlcG9zaXRvcnkxMTI3ODU0MTQ=,Spring Cloud Alibaba provides a one-stop solution for application development for the distributed solutions of Alibaba middleware.,24963,7655,1159,Java,https://api.github.com/repos/alibaba/spring-cloud-alibaba,2017-12-01T20:49:15Z,2023-03-11T14:11:34Z,2023-03-11T13:06:41Z,Apache License 2.0
toBeTopJavaer,hollischuang,https://github.com/hollischuang/toBeTopJavaer,154648112,MDEwOlJlcG9zaXRvcnkxNTQ2NDgxMTI=,To Be Top Javaer - Java工程师成神之路,24433,5402,74,Java,https://api.github.com/repos/hollischuang/toBeTopJavaer,2018-10-25T09:54:54Z,2023-03-10T17:04:11Z,2023-02-22T02:32:21Z,NO LICENSE
kafka,apache,https://github.com/apache/kafka,2211243,MDEwOlJlcG9zaXRvcnkyMjExMjQz,Mirror of Apache Kafka,24368,12378,13377,Java,https://api.github.com/repos/apache/kafka,2011-08-15T18:06:16Z,2023-03-11T14:47:11Z,2023-03-11T13:50:27Z,Apache License 2.0
EventBus,greenrobot,https://github.com/greenrobot/EventBus,5070389,MDEwOlJlcG9zaXRvcnk1MDcwMzg5,"Event bus for Android and Java that simplifies communication between Activities, Fragments, Threads, Services, etc. Less code, better quality.",24275,4678,127,Java,https://api.github.com/repos/greenrobot/EventBus,2012-07-16T16:55:40Z,2023-03-10T07:18:52Z,2022-12-08T23:57:47Z,Apache License 2.0
SmartRefreshLayout,scwang90,https://github.com/scwang90/SmartRefreshLayout,93152223,MDEwOlJlcG9zaXRvcnk5MzE1MjIyMw==,🔥下拉刷新、上拉加载、二级刷新、淘宝二楼、RefreshLayout、OverScroll，Android智能下拉刷新框架，支持越界回弹、越界拖动，具有极强的扩展性，集成了几十种炫酷的Header和 Footer。,24097,4911,27,Java,https://api.github.com/repos/scwang90/SmartRefreshLayout,2017-06-02T09:52:50Z,2023-03-11T08:47:34Z,2023-01-12T14:29:16Z,Apache License 2.0
xxl-job,xuxueli,https://github.com/xuxueli/xxl-job,47023603,MDEwOlJlcG9zaXRvcnk0NzAyMzYwMw==,A distributed task scheduling framework.（分布式任务调度平台XXL-JOB）,23752,9887,419,Java,https://api.github.com/repos/xuxueli/xxl-job,2015-11-28T12:59:34Z,2023-03-11T14:45:30Z,2023-03-09T08:50:17Z,GNU General Public License v3.0
BaseRecyclerViewAdapterHelper,CymChad,https://github.com/CymChad/BaseRecyclerViewAdapterHelper,55886798,MDEwOlJlcG9zaXRvcnk1NTg4Njc5OA==,BRVAH:Powerful and flexible RecyclerAdapter,23436,5016,280,Java,https://api.github.com/repos/CymChad/BaseRecyclerViewAdapterHelper,2016-04-10T07:40:11Z,2023-03-11T13:29:21Z,2023-02-21T10:37:27Z,MIT License
seata,seata,https://github.com/seata/seata,163387337,MDEwOlJlcG9zaXRvcnkxNjMzODczMzc=,":fire: Seata is an easy-to-use, high-performance, open source distributed transaction solution.",23423,8354,2291,Java,https://api.github.com/repos/seata/seata,2018-12-28T08:37:22Z,2023-03-11T14:49:53Z,2023-03-11T15:00:31Z,Apache License 2.0
Signal-Android,signalapp,https://github.com/signalapp/Signal-Android,2990192,MDEwOlJlcG9zaXRvcnkyOTkwMTky,A private messenger for Android.,23393,5706,2663,Java,https://api.github.com/repos/signalapp/Signal-Android,2011-12-15T20:01:12Z,2023-03-11T10:14:46Z,2023-03-10T19:21:57Z,GNU General Public License v3.0
Hystrix,Netflix,https://github.com/Netflix/Hystrix,6766558,MDEwOlJlcG9zaXRvcnk2NzY2NTU4,"Hystrix is a latency and fault tolerance library designed to isolate points of access to remote systems, services and 3rd party libraries, stop cascading failure and enable resilience in complex distributed systems where failure is inevitable.",23244,4681,805,Java,https://api.github.com/repos/Netflix/Hystrix,2012-11-19T20:14:46Z,2023-03-10T22:01:48Z,2022-11-12T05:34:13Z,NO LICENSE
